trialnum	subject	session	part	condition	basicShape	numObjects	speed	motionRule	trialKind	initialAngle	initialOtherAngle	cueFrames	correct	trialDurTotal	numTargets	whichIsTarget	reversal_count	reversal_0	reversal_1	reversal_2	reversal_3	reversal_4	reversal_5	reversal_6	reversal_7	reversal_8	reversal_9
169	temp	1	Part1	near_displaced	circle	2	1.6500000000000004	standard	staircase	5.9995	2.8579	120	1	5.495	1	0	3	1.9625	3.1909	4.6381	-999	-999	-999	-999	-999	-999	-999
170	temp	1	Part1	far_displaced	circle	2	1.7999999999999998	standard	staircase	4.4018	1.2602	120	1	5.495	1	0	2	2.5923	3.7927	-999	-999	-999	-999	-999	-999	-999	-999
171	temp	1	Part1	near_displaced	circle	2	2.0000000000000004	varying	staircase	0.7779	3.9195	120	1	5.428	1	0	2	2.5885	3.9538	-999	-999	-999	-999	-999	-999	-999	-999
172	temp	1	Part1	far_displaced	circle	2	1.7999999999999998	standard	staircase	5.0637	1.9221	120	1	5.428	1	0	2	3.0857	3.637	-999	-999	-999	-999	-999	-999	-999	-999
173	temp	1	Part1	centred	circle	2	1.5000000000000009	standard	staircase	2.9821	6.1237	120	1	5.388	1	0	2	2.8101	3.8493	-999	-999	-999	-999	-999	-999	-999	-999
174	temp	1	Part1	near_displaced	circle	2	1.6500000000000004	standard	staircase	4.6141	1.4725	120	1	5.509	1	0	2	2.4121	3.9924	-999	-999	-999	-999	-999	-999	-999	-999
175	temp	1	Part1	near_displaced	circle	2	1.7000000000000004	standard	staircase	2.2841	5.4257	120	1	5.603	1	0	3	2.0919	2.8663	4.7757	-999	-999	-999	-999	-999	-999	-999
176	temp	1	Part1	near_displaced	circle	2	1.7000000000000004	standard	staircase	3.4535	0.3119	120	1	5.651	1	0	3	2.2498	3.3497	4.0247	-999	-999	-999	-999	-999	-999	-999
177	temp	1	Part1	near_displaced	circle	2	1.7000000000000004	standard	staircase	5.9388	2.7972	120	1	5.429	1	0	3	2.2693	3.4659	4.7644	-999	-999	-999	-999	-999	-999	-999
178	temp	1	Part1	far_displaced	circle	2	1.5499999999999998	varying	staircase	0.8574	3.999	120	1	5.495	1	0	3	2.2287	3.1863	4.8698	-999	-999	-999	-999	-999	-999	-999
179	temp	1	Part1	near_displaced	circle	2	1.7500000000000004	standard	staircase	2.2875	5.4291	120	1	5.308	1	0	2	2.6766	4.0218	-999	-999	-999	-999	-999	-999	-999	-999
180	temp	1	Part1	far_displaced	circle	2	1.5999999999999996	varying	staircase	4.3279	1.1863	120	0	5.601	1	0	2	3.1613	4.2393	-999	-999	-999	-999	-999	-999	-999	-999
181	temp	1	Part1	near_displaced	circle	2	1.7500000000000004	standard	staircase	2.4	5.5415	120	1	5.642	1	0	2	3.1338	4.1395	-999	-999	-999	-999	-999	-999	-999	-999
182	temp	1	Part1	near_displaced	circle	2	2.0000000000000004	varying	staircase	0.9216	4.0632	120	1	5.522	1	0	3	2.4104	3.0262	3.7839	-999	-999	-999	-999	-999	-999	-999
183	temp	1	Part1	centred	circle	2	1.5000000000000009	standard	staircase	5.2952	2.1536	120	1	5.482	1	0	3	1.9797	3.0023	4.0683	-999	-999	-999	-999	-999	-999	-999
184	temp	1	Part1	far_displaced	circle	2	1.7999999999999998	standard	staircase	0.2386	3.3802	120	0	5.534	1	0	2	2.4784	4.2466	-999	-999	-999	-999	-999	-999	-999	-999
185	temp	1	Part1	far_displaced	circle	2	1.7499999999999998	standard	staircase	5.0536	1.912	120	1	6.896	1	0	2	2.9927	4.8366	-999	-999	-999	-999	-999	-999	-999	-999
186	temp	1	Part1	far_displaced	circle	2	1.0	varying	attention_check	5.4823	2.3407	120	0	5.775	1	0	3	2.1654	2.7163	3.8129	-999	-999	-999	-999	-999	-999	-999
187	temp	1	Part1	far_displaced	circle	2	1.5499999999999998	varying	staircase	5.9341	2.7925	120	1	5.375	1	0	2	2.4428	4.1611	-999	-999	-999	-999	-999	-999	-999	-999
188	temp	1	Part1	far_displaced	circle	2	1.7499999999999998	standard	staircase	4.9694	1.8278	120	1	5.641	1	0	3	2.3424	3.052	3.9433	-999	-999	-999	-999	-999	-999	-999
189	temp	1	Part1	far_displaced	circle	2	1.7499999999999998	standard	staircase	2.4365	5.578	120	0	5.562	1	0	2	3.0689	4.2546	-999	-999	-999	-999	-999	-999	-999	-999
190	temp	1	Part1	centred	circle	2	1.5000000000000009	standard	staircase	5.6207	2.4792	120	1	5.469	1	0	2	1.9778	3.6245	-999	-999	-999	-999	-999	-999	-999	-999
191	temp	1	Part1	far_displaced	circle	2	1.6999999999999997	standard	staircase	3.5729	0.4313	120	1	5.388	1	0	2	1.8681	3.847	-999	-999	-999	-999	-999	-999	-999	-999
192	temp	1	Part1	far_displaced	circle	2	1.6999999999999997	standard	staircase	2.6935	5.8351	120	0	5.429	1	0	2	1.737	3.6293	-999	-999	-999	-999	-999	-999	-999	-999
193	temp	1	Part1	far_displaced	circle	2	1.65	standard	staircase	4.5844	1.4428	120	1	5.522	1	0	2	2.8108	4.2469	-999	-999	-999	-999	-999	-999	-999	-999
194	temp	1	Part1	near_displaced	circle	2	1.7500000000000004	standard	staircase	6.0045	2.8629	120	1	5.775	1	0	2	3.0016	3.6806	-999	-999	-999	-999	-999	-999	-999	-999
195	temp	1	Part1	near_displaced	circle	2	2.0500000000000007	varying	staircase	3.3777	0.2361	120	1	5.282	1	0	2	2.8271	3.5838	-999	-999	-999	-999	-999	-999	-999	-999
196	temp	1	Part1	far_displaced	circle	2	1.65	standard	staircase	5.8291	2.6875	120	0	5.535	1	0	2	2.1007	3.5161	-999	-999	-999	-999	-999	-999	-999	-999
